ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
FB,2015-08-10,95.68,95.9,93.63,94.15,21624153.0,0.0,1.0,95.68,95.9,93.63,94.15,21624153.0
FB,2015-08-11,93.73,94.76,92.9006,93.62,22491031.0,0.0,1.0,93.73,94.76,92.9006,93.62,22491031.0
FB,2015-08-12,92.7,94.44,91.19,94.19,27120375.0,0.0,1.0,92.7,94.44,91.19,94.19,27120375.0
FB,2015-08-13,94.05,94.73,93.35,93.43,17451768.0,0.0,1.0,94.05,94.73,93.35,93.43,17451768.0
FB,2015-08-14,93.54,94.72,93.21,94.42,15929656.0,0.0,1.0,93.54,94.72,93.21,94.42,15929656.0
FB,2015-08-17,94.42,94.46,93.39,93.93,18313531.0,0.0,1.0,94.42,94.46,93.39,93.93,18313531.0
FB,2015-08-18,94.08,95.85,94.04,95.17,22278848.0,0.0,1.0,94.08,95.85,94.04,95.17,22278848.0
FB,2015-08-19,94.63,96.1,94.161,95.31,23251271.0,0.0,1.0,94.63,96.1,94.161,95.31,23251271.0
FB,2015-08-20,93.54,94.77,90.46,90.56,44598224.0,0.0,1.0,93.54,94.77,90.46,90.56,44598224.0
FB,2015-08-21,87.52,89.18,85.61,86.06,62778680.0,0.0,1.0,87.52,89.18,85.61,86.06,62778680.0
FB,2015-08-24,77.03,87.14,72.0,82.09,83710727.0,0.0,1.0,77.03,87.14,72.0,82.09,83710727.0
FB,2015-08-25,86.95,87.67,83.0,83.0,52021230.0,0.0,1.0,86.95,87.67,83.0,83.0,52021230.0
FB,2015-08-26,85.95,87.46,83.26,87.19,45124302.0,0.0,1.0,85.95,87.46,83.26,87.19,45124302.0
FB,2015-08-27,89.19,90.06,87.19,89.73,42431375.0,0.0,1.0,89.19,90.06,87.19,89.73,42431375.0
FB,2015-08-28,89.94,91.48,89.792,91.01,33215885.0,0.0,1.0,89.94,91.48,89.792,91.01,33215885.0
FB,2015-08-31,90.59,91.05,88.89,89.43,32850666.0,0.0,1.0,90.59,91.05,88.89,89.43,32850666.0
FB,2015-09-01,86.99,89.39,86.5,87.23,36097370.0,0.0,1.0,86.99,89.39,86.5,87.23,36097370.0
FB,2015-09-02,88.82,89.89,87.63,89.89,27190527.0,0.0,1.0,88.82,89.89,87.63,89.89,27190527.0
FB,2015-09-03,89.76,89.82,87.73,88.15,27048198.0,0.0,1.0,89.76,89.82,87.73,88.15,27048198.0
FB,2015-09-04,87.2,88.39,86.7,88.26,27328667.0,0.0,1.0,87.2,88.39,86.7,88.26,27328667.0
